1,"Air Rade"|"Some might call Air Raid reckless, the way he dives out of nowhere, charging enemy units head on. Air Raid would laugh at that. A rash and fearless young warrior who loves surprises (especially those that leave his foes too stunned to fight back), he has only one real goal in life: to have fun. Needless to say his attitude puts him in a lot of danger, but you can be sure he's enjoying himself the whole time."
2,"Arblus"|"A resident of the planet Lithone, Arblus is prone to overreaction and hysterics, but is strongly loyal to his friends, such as Kranix."
3,"Arcee"|"Most make the mistake of noticing only Arcee's gender, but these first impressions are quickly expanded upon. Arcee is a merciless and deadly warrior who's an expert in hand-to-hand combat and one of the best sharpshooters on record. The reason for her ferocity is how much she cares for her fellow Autobots and especially the humans they protect. She knows how fragile her organic companions are, and she's equally aware of the evils the Decepticons are capable of. Peers such as Hot Rod and Springer may be more durable than the humans, but she no less fights to defend them as well. They get in plenty of trouble, so someone has to be the level-headed one."
4,"Astrotrain"|"Astrotrain loves to sow confusion. To this end, his Triple Changer abilities serve him well. Nothing pleases him more than confronting an Autobot in a dark corner and making him wonder if he's up against one Decepticon or two. He craves having this power over others. Single-minded, you may say, but when most of your time is spent transporting troops around, you have to take your jollies where you can. He wants more from life, but it's either fly the other Decepticons around, or get scrapped by them."
5,"Beachcomber"|"Beachcomber has a hard time reconciling his love of peace and freedom for all creatures with the need to combat those who threaten it. Furthermore, however just the cause for which it was fought, the gruesome and destructive aftermath of any battle sickens him to the spark. Sometimes, when the internal struggle gets too heavy, he simply has to wander into the wilderness and cleanse his soul. Even there, far from civilization, he sometimes finds strange substances to aid the Autobot cause, for Beachcomber is a skilled naturalist, and geology is his specialty, man. He often tries to preserve or even to hide these discoveries, but he has seen too much evil done by the ruthless Decepticons to conceal any possible source of aid completely from his allies."
6,"Blades"|"Blades will never be the Autobot poster child. He's a dirty, underhanded street brawler at heart and proud of it. The fact that his alternate mode and function as air support can keep him at a distance from combat infuriates him. Blades would rather use his rotors to gut a Decepticon from antenna to tailpipe than to fly. When he fights, he wants to feel his enemies' fuel spraying across his steel skin. Blades does his job and does it darn well, but if there's a way to get his hands dirty in the process, you can bet your processor he'll find it."
7,"Blast Off"|"Blast Off doesn't need a write-up in some pathetic, grubby little human database. It might matter to some robots what others think of them, or if they think of them at all, but Blast Off couldn't care less. No, he's literally and figuratively above your average Cybertronian riff-raff. The other Combaticons could completely forget he's up here, orbiting so far above the Earth, distant and alone... with only the empty void for company... and he couldn't care less. No, certainly not. Lesser robots could hardly understand the joy... yes, that's it, the joy, he finds in efficiently and remorselessly annihilating targets from such a great distance. Blast Off was quite simply "built better" than the rest, you see, and so needs nothing from those tiny beings moving about so... so very... far away below. Blast Off... Blast Off is quite happy with his superior position, yes, quite happy and... and quite alone."
8,"Blaster"|"Blaster loves all Earth music, especially good, hard, LOUD rock 'n' roll. He can be found at the forefront of any situation in which he's involved, be it getting down and truly hopping to town, or kicking butt and taking names—both of which he does well, and both of which have led him into conflict with authority at times. Blaster marches to his own beat, whether it's a pounding bassline or pounding Decepticon skulls, and he's not shy when it comes to sharing his feelings about either! He maintains a shared enmity with his Decepticon counterpart Soundwave, with whom he shares his powers over all forms of sound, and is often backed up by a team of his own Autobot Mini-Cassettes to match Soundwave's mini-minions on the battlefield."
9,"Blitzwing"|"The other Decepticons don't care much for Blitzwing. Oh, they can respect that he's an absolute terror on the battlefield, using his triple-changing ability to maximum effect. Few things are more destructive and demoralizing to an enemy force than a tank landing on your front line at Mach 2. Blitzwing changes forms rapidly in battle to keep his opponents off-balance at all times. And through it all, he's laughing like a madman, because frag it, it's just funny to him. What makes him such a pain to his teammates is that Blitzwing's sense of humor rivals even Skywarp's for brainless thuggery. He's an unlikable, blustering, loudmouthed jerk to everyone. The Decepticons as a group may be an unpleasant bunch, but Blitzwing takes the cake, platter, and tablecloth, and has ground the table underfoot."
10,"Bluestreak"|"Bluestreak (aka Silverstreak) is a talker. He talks a lot. Any subject, any time of the day, his lips are flapping while his Autobot comrades are rolling their eyes. Could be about things on Earth, could be about things on Cybertron, could be about just about anything, but the point is, y'know, he's talking. Words are coming out of his mouth in a near constant prattling stream. Some think he's vapid, that his mouth just moves a billion times faster than his brain, if his brain is moving at all. Or they imagine that he's a fool who doesn't know when to shut up, that he drones on and on and on and on because maybe he just likes to hear himself speak or something."
11,"Blurr"|"This description is best read at high speeds. Blurr is positively and incontrovertibly without possibility of any doubt the fastest-thinking, fastest-talking and fastest-driving data courier and messenger from the planet of Cybertron, and if you or your friend or anybody else you know or anybody else you might not know or in fact anybody at all wants to send any kind of message or dispatch or parcel or data or in fact anything at all to any base or station or out-of-the-way depot, barracks, headquarters, outpost, or post office and it is absolutely essential to deliver it immediately or at the earliest opportunity and without any delay of any kind regardless of Decepticons or obstacles or foul weather or gloom of night then Blurr's the one to pick, sir, so just give him the good word and the item in question and Blurr is off like a Cybertronic race horse, if there were such a thing as a Cybertronic race horse, and if such a beast was able to break the sound barrier on land and leave only dust clouds and lingering after-images, because Blurr leaves only dust clouds and lingering after images, but he'll be off that quickly with your message in hand, and if any hostile power or enemy or Decepticon ambush should get in the way then he'll hit them with a blast from his electro-laser which will reverse the polarity of their microcircuits and they'll be stopped. Dead."
12,"Bombshell"|"A master of mind-controlling "cerebro-shells", the twisted Bombshell (aka Hardshell) plays with the minds of others as a child would a new toy, enthusiastically and recklessly. But there is nothing childlike about the gleeful malice he exposes in forcing his victims into more and more humiliating and destructive acts. Bombshell takes such sadistic joy in the destruction of his victims that even the other Decepticons can be put off, wondering if he wouldn't be just as pleased to play those same 'games' with them..."
13,"Bonecrusher"|"Bonecrusher finds beauty in rubble-strewn wastelands and longs to transform pretty much any location he happens across into one. Moreover, he makes demolition into a wild performance art. He loves to show off his destructive talents for his fellow Decepticons. Deep down, his destruction is really a perfectionism that cannot tolerate anything that he views as flawed, which includes the Autobots. Megatron values the fear and destruction Bonecrusher creates as much as the resources harvested in his wake. Now if he could just refrain from destroying buildings the Decepticons actually need..."
14,"Brawl"|"If Brawl's on the battlefield and you can't hear him coming, it's time to check your audio receptors, because chances are you've gone deaf. Brawl's main distinguishing characteristic is VOLUME. No matter if he's talking (yelling), moving (clanking and rattling), or fighting (yelling, clanking, rattling, and blasting) you're sure to hear him doing it, as is anyone else in the county. As if that wasn't enough, he is also a ball of barely contained rage and violence with a hair-trigger temper. This makes even his comrades wary, but it does make him a force to be reckoned with on the battlefield... as long as the mission doesn't require stealth. Or zero casualties."
15,"Brawn"|"Brawn, the Autobots' demolitions expert, is amazingly strong for his size. Due to his small stature, he often attempts to overcompensate by playing up his macho personality. He loves a challenge, be it rugged off-roading or charging headlong at foes several times his size. He has a lot of chutzpah, and a somewhat sarcastic sense of humor ever at the ready. Due to his machisimo, he sometimes looks down on noncombatant Autobots. In addition to his great strength, Brawn is also so tough as to be almost indestructible. Almost."
16,"Breakdown"|"Breakdown has an acute case of paranoia. (What was that!?) He genuinely believes that things, both living and inanimate, are watching him. (They're all over me!) Breakdown doesn't like to stand out in a crowd. (Did you hear that!?) He dreads being different and garnering attention. (Stop staring at me!) At times, he almost wishes he was a human so he could just disappear and no one would notice. (Get them off meeeee!) Needless to say, he and Red Alert (He's one of THEM!!) would be energon drinking buddies if each wasn't likely to be convinced the other was trying to poison him."
17,"Broadside"|"Broadside is a huge loser. He's the forgotten Autobot Triple Changer who turns into either a tiny aircraft carrier and a jet, or an impossibly large 'jet' and an aircraft carrier. Broadside also happens to be terrified of heights. And gets seasick on the water. His life must suuuuuuck. Fortunately, as one of the Wreckers, Broadside is almost constantly shooting the slag out of Decepticons, which is probably a good outlet for any frustration."
18|"Bruticus"|"Bruticus is the combined form of the Combaticon team. A terrifying sight on the battlefield, Bruticus is among the strongest of all Transformers. He can pulverize a suspension bridge with a single 14,000 psi punch. He can lift up to 500,000 pounds. His armor is impervious to most artillery and radiation. He's also as dumb as a sack of hammers. But as far as Decepticon combiners go, mental problems aren't terribly uncommon. In fact, Megatron wishes that he had an army of Bruticuses, and Optimus Prime is thankful that he doesn't."
19|"Bumblebee"|"Bumblebee is one of the smallest and physically weakest Autobots. While his stature allows him to do his job better than most Autobots could manage, he is self-conscious about his size. Maybe this is why he makes fast friends among the humans. He looks up (so to speak) to the other Autobots, especially Optimus Prime, but what he doesn't realize is that they look up to him. He may be small, but he's brave, and he's one of the most well-liked Autobots around. Bumblebee already has the respect he craves."
20|"Buzzsaw"|"Buzzsaw is a very specific kind of artist—he likes to make art out of his victims. He approaches them with reasoned clarity and sophistication, gutting them with what he believes to be inspirational precision. However, his ego is easily wounded, and he's not adept at improvisation. If one of his 'masterpieces' is interrupted and he cannot proceed as planned, he would rather retreat to sulk than rethink his approach. He will kill you. It's not a matter of if, but a matter of where, when, and how painful it is."
21|"Cliffjumper"|"Within Cliffjumper burns the spark of a hero and a dedicated Autobot. On the outside, he's a paranoid, trigger-happy jerk with serious impulse-control problems. Cliffjumper utterly hates the Decepticons. He also hates traitors. And anybody could be a traitor. Therefore, Cliffjumper hates everybody. It's unclear if he hates traitors more than he hates Decepticons, but it's at least a neck-and-neck thing. He makes a habit of pulling ridiculously huge guns out of nowhere and attacking impulsively despite orders or sanity. Somehow, this gets him neither killed nor demoted. Cliffjumper's special weapon is his glass gas, which embrittles metals on contact so that they shatter like glass. He is not immune to its effects, so its use requires careful consideration of wind direction. Actually, this may explain why he prefers the big guns. He doesn't seem like the calculating type."
22|"Cosmos"|"Fast and intelligent, bored and lonely, Cosmos has reason to regret his abilities, which often separate him from his Autobot friends. Alas, his skills are far too extraordinary to ignore. Few of his faction can achieve escape velocity and enter planetary orbit unaided, as he can, from planets as big as Earth or slightly larger. He carries fuel reserves sufficient for short orbital journeys; he is quite able to land on Earth's Moon, then take off and return to Earth. Cosmos enjoys such diversions immensely. Generally, however, he remains in orbit, relaying messages, observing enemy installations, and watching for Decepticon activity in nearby space. His optical sensors are able to observe a human radio host standing outside in the high desert from 600 miles up. As a living Transformer, his advantage over a simple satellite is great, but it is a boring life for Cosmos. Every so often he breaks the monotony by hovering eerily above the backyards of Earth citizens, drifting silently behind the cars of lone drivers with his running lights on, or briefly jamming TV transmissions with reruns of The Outer Limits. He has also been known to zigzag through meteor showers on a clear night, showing off his space piloting skills. Naturally, this causes some consternation to the poor humans he is supposed to defend, but it's all in good fun. Primus save us from bored techies."
23|"Cyclonus"|"Among the Decepticons, finding a genuinely loyal and competent second-in-command is a near impossibility. Cyclonus is the exception to that rule. Created by Unicron, Cyclonus is a being whose loyalty to Galvatron and the Decepticon cause is so intense as to exclude most other emotions and interests from his mind. He is dedicated to destruction in his leader's name. He also has brains to back up that dedication, power to enforce Galvatron's will, and the initiative to form plans and get them done. Cyclonus could easily rule the Decepticons himself if he so desired, either as a power behind the throne or directly overthrowing his psychotic master. His responses to any suggestions that he do so? "All hail Galvatron!" It's really amazing that he's so loyal, when one considers that he alternates with Ultra Magnus as Galvatron's personal punching bag."
24|"Deadend"|"Dead End knows that his having an entry in some database somewhere hardly matters. The page will be vandalized. The computers will eventually fail. The data will be lost. The species that made it will go extinct. Their planet will become barren. The sun will die out. All suns will die out. The universe will implode again, or expand into nothingness, or be eaten by a giant evil space-god. So what's the point? Despite this deep knowledge of the dark, inevitable pointlessness of existence, he spends an inordinate amount of time polishing and primping himself. This is something the other Decepticons are sure to tease him about whenever they get the chance, which only depresses him more. If you can actually motivate him to fight, he's a fearless warrior and actually cheers up a little, since trying to save his own life can momentarily distract him from how ultimately brief and pointless it is; the hard trick is getting him motivated in the first place, since in the end we're all doomed. Sigh."
25|"Defensor"|"The combined form of the five Protectobots Defensor exists specifically to safeguard human life. In many ways he feels about the human race the way a parent would their children and he would give his life away in an instant rather than let one human come to harm. Defensor is emotionally attached to humans on a level that sometimes worries his fellow Autobots. He identifies with them the same way a sheep dog would with its flock or a puppy with its human owners. As far as Defensor is concerned the humans are his "kind." Sadly the titanic robot giant's attempts at personal interaction and friendly exchanges with humans tend to fail. We humans tend to be more wary and frightened of his alien nature and great size than Defensor can understand. Despite this, Defensor is fairly well adjusted mentally compared to almost every other contemporary gestalt"
26|"Devastator"|"Devastator is an immensely powerful warrior, and in that sense the combination of the Constructicons into a merged being is a huge success. Mentally, on the other hand, he's very much less than the sum of his parts. Devastator's primitive psyche is limited to only the thoughts and actions on which all his components can agree, which results in raging bouts of destructive fury. Given the sheer power Devastator brings to these rages, Megatron has no complaints."
27|"Dirge"|"Dirge is a master of using fear as a weapon. Mournful, morose, and silent, his behavior gives even close comrades like Ramjet the creeps. Dirge actively cultivates this atmosphere; his engines are even tuned to generate fear in all who hear them. Few realize, however, that this need to instill fear is part of an overwhelming need for control over his own situation. Should things spiral out of control, Dirge falls victim to paralyzing fear himself and his usefulness as a warrior vanishes. However, those who know Dirge realize that his gloominess and cowardice are indicators that he was never cut out for conquest. Deep down, all he wants is old, quiet life back, and doesn't want any trouble for it. But he knows that's probably not an option for him, regardless of whoever wins. Besides, he has every reason to be gloomy. True to his name, he tends to die. A lot."
28|"Divebomb"|"In the air, with targets arrayed below him like manna strewn from heaven, you won't find a robot happier than Divebomb. He's a cheery sort in general, almost always in a good mood, but nothing makes him as downright giddy as a child on Christmas morning as having so many targets to pick and choose from that he doesn't know where to start destroying. Just about the only thing that ever puts him in a bad mood is having to give up his independence and combine with his teammates, whom he tolerates at best, to form Predaking. In his free time, Divebomb likes to use available scrap to build himself 'mechanest' fortresses at the top of the highest available point. These plush private apartments are something of a point of pride for him. 'I like to live comfortably,' he explains with a smile."
29|"Drag Strip"|"Drag Strip (aka Dragstrip) has never heard of the term 'graceful in victory'. He doesn't just like to win, he loves it. Drag Strip would sooner die a miserable death than ever sacrifice a victory, as he thrives on the bragging rights which accompany first place. He can't keep himself from stroking his own ego and bragging about his accomplishments in excruciating detail. The other Decepticons, Megatron included, hate his metal guts and would gladly pummel him to scrap for being plain obnoxious if it weren't for the fact that his insatiable lust for victory makes him a formidable foe against the Autobots. Not that he cares; they're just jealous."
30|"Eject"|"The best way to describe Eject is that he is always ready for some football! A confirmed Earth-sports junkie, Eject constantly scans the airwaves for everything from baseball, basketball, football, soccer, hockey, anything, from professional to academic-level competition. This occasionally interferes with his job as a surveillance agent, should a game go into overtime when he should be monitoring Decepticon activity. Sports clichés and terms litter his speech: 'home runs', 'touchdowns', 'gooooooooooooooooooo ooooooooooooooal!!' and, of course, 'Are you ready for some football?!' For Eject, sports are more than a form of entertainment. To his mind, they are also the answer to the war. He feels that sports could replace the way Cybertronians traditionally settle disputes: with bloody arena combat or a millennia or two of killing each other in mass numbers. He tries to get the other Autobots in on the idea, and envisions one day a Cybertron free of the horrors of war, where arenas are filled with fans cheering a three-point shot rather than a decapitation, where all Transformers are united in being truly READY FOR SOME FOOTBALL!!!"
